fonte_original,fonte_classe,linhas,total_liquidado
UNIÃO (OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS OU INSTRUMENTOS CONGÊNERES DA UNIÃO (EXERC.CORRENTE),outros,4,991902.79
ROYALTIES DA UNIÃO E 1705 ROYALTIES DO ESTADO,petroleo,4,929698.23
ROYALTIES ATÉ 5%,petroleo,2,833574.0
ROYALTIES PELO EXCEDENTE DA PRODUÇÃO - LEI 9478/97,petroleo,4,600000.0
UNIÃO,outros,4,480797.89
TRANSFERÊNCIAS DA POLÍTICA NACIONAL ALDIR BLANC DE FOMENTO À CULTURA,outros,27,415662.45
PRÓPRIOS,outros,4,372734.06
RECURSOS VINCULADOS AO TRÂNSITO,outros,13,368372.09
S. FORÇAS (1.701,outros,2,312030.38
ROYALTIES UNIÃO,petroleo,16,250347.53
DESPESAS CORRENTES  (0  -  ROYALTIES -  LEI 9478/97),petroleo,2,208600.0
CONSERVAÇÃO AMBIENTAL,outros,8,173823.8
RECURSOS VINCULADOS A FUNDOS,outros,76,169203.64
ORDINÁRIO,outros,1,156119.19
R.P. (1.501,outros,1,123697.6
RECURSOS PRÓPRIOS / SUPERÁVIT FINANCEIRO,outros,3,106600.0
Recursos Vinculados a Fundos,outros,4,79350.4
R.P.,outros,15,39333.0
PNAQ,outros,1,32435.58
RECURSOS PROPRIOS,outros,12,23560.0
Transferência da União Referente a Royalties do Petróleo e gás natural,petroleo,6,7706.36
COM VINCULO ORÇAMENTÁRIO,outros,3,6971.4
UNIÃO (1.700,outros,1,4168.56
"R.P. (1.753 -  RECURSOS PROVENIENTES DE TAXAS, CONTRIBUIÇÕES E PREÇOS PÚBLICOS (EXERC.CORRENTE)",outros,1,3000.0
ROYALTIES - LEI 9478/97 - EXCEDENTE DA PRODUÇÃO DO,petroleo,3,163.31
DESPESAS CORRENTES,outros,55,0.0
1500,outros,4,0.0
DESPESAS DE CAPITA,outros,6,0.0
IMP/TRANSF E ROYALTIES,petroleo,6,0.0
PNAE,outros,1,0.0
OUTRAS TRANSFERÊNCIAS DE CONVÊNIOS OU INSTRUMENTOS CONGÊNERES DA UNIÃO (EXERC.ANTERIOR),outros,1,0.0
OUTROS RECURSOS VINCULADOS,outros,2,0.0
RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,outros,21,0.0
RECURSOS NÃO VINCULADOS DE IMPOSTOS,outros,117,0.0
DESPESAS DE CAPITAL,outros,7,0.0
